Lat	Long	Mag(avg)
40.775	14.788	18.300
40.775	14.788	18.3225
40.775	14.788	18.2825
40.695	14.778	17.5625
40.695	14.778	17.58
40.695	14.778	17.5925
40.789	14.702	18.3175
40.789	14.702	18.11
40.789	14.702	18.095
40.801	14.606	18.9225
40.801	14.606	18.92
40.801	14.606	18.885
40.810	14.659	16.4575
40.810	14.659	16.9575
40.810	14.659	17.2175
40.810	14.659	18.2
40.810	14.659	18.18
40.810	14.659	18.145
40.756	14.537	18.4825
40.756	14.537	18.48
40.756	14.537	18.4775
40.745	14.587	18.2825
40.745	14.587	18.4025
40.745	14.587	18.3175
40.745	14.617	18.1475
40.745	14.617	18.1775
40.745	14.617	18.22
40.741	14.661	18.2725
40.741	14.661	18.31
40.741	14.661	18.0725
40.740	14.662	19.3225
40.740	14.662	19.3325
40.740	14.662	19.3325
40.611	14.980	18.195
40.611	14.980	18.15
40.611	14.980	18.15
40.596	14.894	19.3575
40.596	14.894	19.3475
40.596	14.894	19.3525
40.529	14.946	19.9175
40.529	14.946	19.5925
40.529	14.946	19.765
40.418	14.998	19.8875
40.418	14.998	19.8625
40.418	14.998	19.81
40.355	14.996	19.4275
40.355	14.996	19.425
40.355	14.996	19.46
40.360	14.999	18.71
40.360	14.999	18.8175
40.360	14.999	18.655
40.818	15.463	20.8425
40.818	15.463	21.25
40.818	15.463	21.24
40.694	14.994	19.46
40.694	14.994	19.47
40.694	14.994	19.5
40.702	14.914	19.21
40.702	14.914	19.29
40.702	14.914	19.13
40.708	14.843	19.3
40.708	14.843	19.29
40.708	14.843	19.33
40.499	15.205	20.34
40.499	15.205	20.39
40.499	15.205	20.32
40.557	15.206	20.33
40.557	15.206	20.35
40.557	15.206	20.31
40.686	14.754	18.11
40.686	14.754	18.27
40.686	14.754	18.25
40.671	14.736	17.52
40.671	14.736	17.43
40.671	14.736	17.48
40.672	14.765	17.27
40.672	14.765	17.22
40.672	14.765	17.21
40.675	14.797	18.09
40.675	14.797	18.11
40.675	14.797	18.18
40.666	14.821	18.45
40.666	14.821	18.34
40.666	14.821	18.37
40.662	14.714	19.17
40.662	14.714	19.2
40.662	14.714	19.14
40.640	14.689	20.04
40.640	14.689	20.02
40.640	14.689	20.04
40.648	14.640	18.2
40.648	14.640	18.52
40.648	14.640	18.34
40.649	14.627	19.07
40.649	14.627	18.59
40.649	14.627	19.2
40.633	14.603	19.12
40.633	14.603	19.18
40.633	14.603	19.08
40.618	14.517	20.26
40.618	14.517	20.15
40.618	14.517	20.19
40.625	14.473	20.12
40.625	14.473	20.13
40.625	14.473	20.15
40.612	15.063	16.42
40.612	15.063	16.24
40.612	15.063	16.19
40.669	15.101	19.13
40.669	15.101	19.19
40.669	15.101	19.09
40.693	15.251	17.11
40.693	15.251	17.2
40.693	15.251	17.21
40.691	15.232	16.35
40.691	15.232	16.5
40.691	15.232	16.3
40.725	15.294	19.22
40.725	15.294	19.21
40.725	15.294	19.2
40.658	15.398	20.12
40.658	15.398	20.1
40.658	15.398	20.12
40.633	15.375	19.36
40.633	15.375	19.35
40.633	15.375	19.31
40.001	15.384	19.38
40.001	15.384	19.33
40.001	15.384	19.37
40.054	15.283	20.15
40.054	15.283	20.28
40.054	15.283	20.31
40.099	15.236	20.43
40.099	15.236	20.43
40.099	15.236	20.43
40.148	15.178	20.2
40.148	15.178	20.19
40.148	15.178	20.2
40.174	15.100	20.28
40.174	15.100	20.28
40.174	15.100	20.3
40.205	15.010	20.16
40.205	15.010	20.18
40.205	15.010	20.22
40.244	14.960	20.34
40.244	14.960	20.27
40.244	14.960	20.33
40.556	15.310	20.17
40.556	15.310	20.05
40.556	15.310	20.09
40.518	15.491	19.33
40.518	15.491	19.37
40.518	15.491	19.41
40.455	15.551	18.27
40.455	15.551	18.28
40.455	15.551	18.27
40.393	15.606	19.41
40.393	15.606	19.43
40.393	15.606	19.43
40.333	15.650	20.37
40.333	15.650	20.26
40.333	15.650	20.21
